pmid,sentence,label
9007910,"DATA SYNTHESIS: Genetic deficiencies in DPD, the rate-limiting enzyme responsible for 5-FU catabolism, may occur in 3% or more of patients with cancer putting them at increased risk for unusually severe adverse reactions (e.g., diarrhea, stomatitis, mucositis, myelosuppression, neurotoxicity) to standard doses of 5-FU.",1
11518127,A 62-year-old woman treated with pranlukast for 2 months developed interstitial pneumonitis with a high fever.,1
95811,Glomerulonephritis in procainamide induced lupus erythematosus: report of a case and review of the literature.,1
11236070,Leukopenia and agranulocytosis are well reported and dangerous haematological side-effects associated with the use of typical and atypical antipsychotics.,0
16843118,"Best known are urticaria, erythema, and pruritus; sometimes pseudoallergic anaphylactoid reactions, and blisters are reported.",0
9022114,"The second patient, a 60-year-old woman, was hospitalized because of a corneal ulcer in her left eye.",0
17614805,She was otherwise healthy and did not complain of hyperhidrosis.,0
1655228,Three patients are reported without a history of angina pectoris who had clinical and electrocardiographic evidence of myocardial ischemia during and immediately after BCNU infusion.,1
12921505,Dosing in these patients requires very careful management.,0
18371508,Adult respiratory distress syndrome after treatment with pegylated interferon alpha-2a and ribavirin.,1
8447835,Immunoblots conducted with hepatic microsomes from control and induced rats and purified rat P450s confirmed that these antibodies also recognised constitutive (3A2) and inducible (3A1) rat CYP3A products.,0
3301251,An acute viral illness or reactivation of systemic lupus erythematosus were the suspected diagnoses.,0
7897759,We report a case of a 54-year-old female who ingested approximately 100 propoxyphene hydrochloride tablets in a suicide attempt.,0
17512794,The case reported here concerns the resolution of severe insomnia in a patient with global hypopituitary insufficiency upon adjustment of triple HRT to quadruple HRT.,0
10633877,"Salicylate intoxication was excluded, and theophylline was finally incriminated.",1
12561997,We present a unique case of GTBM in a patient with myeloma following treatment with Melphalan.,1
1440123,This case report describes a 38-year-old male in whom SIADH was strongly suspected secondary to Tegretol therapy to control a seizure disorder.,1
18795,"A repeat provocation test, under antihistaminic cover , failed to produce similar response.",0
16436462,Neutropenic colitis during standard dose combination chemotherapy with nedaplatin and irinotecan for testicular cancer.,1
17614805,"The symptoms arose within 3-5 min after immersion in water, as a white sponge-like appearance, and resolved after a variable drying period.",0
937377,"Finally, reserpine toxicity, in particular central nervous system (CNS) disturbances, was reported more frequently in patients also receiving barbiturates, suggesting additive CNS effects.",1
17997788,"She purchased cosmetic contact lenses via the Internet, and followed a contact lens care system irregularly, occasionally using tap water.",0
18297577,Eventually she showed apneic spells and hyperglycemia.,0
3954165,We presented a patient with status asthmaticus treated with a combination of theophylline and prednisone who developed a perforated gastric ulcer.,1
11676523,We report two cases of Methicillin-resistant Staphylococcus aureus (MRSA) prosthetic hip infections successfully treated with a long course of linezolid.,0
10583533,"Ninety-two microg kg-1 were given thereafter at time intervals of 2 h until 12 h, then every 3 h until 24 h, and every 4 h until 48 h after surgery.",0
2875665,Administration of amantadine was associated with psychotic decompensations in two schizophrenic patients being maintained on concomitant neuroleptic medication.,1
19634749,Chronic cystoid macular edema that does not respond to topical nonsteroidal antiinflammatory drops may resolve with intravitreal triamcinolone but not with bevacizumab.,0
3688031,The patient's defects may be due to methimazole teratogenicity or could represent a previously undescribed syndrome affecting ectodermal structures.,1
19415018,"Although the patient had no symptoms 10 hours after intrathecal treatment, to prevent the possible neurotoxic effects of methotrexate, a cerebrospinal fluid exchange was performed.",0
9426968,We report a case of vitiligo that occurred during the second month of interferon alpha 2a therapy for chronic active hepatitis C.,1
14625974,"Blood pressures continued to increase, however, and late postpartum eclampsia developed.",0
18775393,"CASE SUMMARY: An 84-year-old woman presented to the emergency department with a bilateral cervical hematoma and symptoms of upper-airway obstruction that had been increasing for 72 hours, with dyspnea and difficulty speaking developing in the previous 24 hours.",0
9366852,We describe a patient with the antiphospholipid syndrome who had skin necrosis develop from low-molecular weight heparin therapy at sites distant from injection sites.,1
4014301,This report describes the first case of insulin-induced cardiac failure in a patient without underlying heart disease.,1
11558988,For pain relief an epidural infusion at the level T1-2 with bupivacaine was started.,0
18034202,"Atypical mycobacterial infections of the musculoskeletal system are very rare and are generally associated with predisposing factors, such as trauma, use of corticosteroids, or an immunocompromised state.",0
9327019,"Although radiation-induced laryngeal necrosis has become a rare complication, the combination of chemotherapy and radiation therapy may increase its incidence.",0
16765687,Rapid resolution of topiramate-induced angle-closure glaucoma with methylprednisolone and mannitol.,1
3720318,We describe a patient in whom noncardiogenic pulmonary edema developed during intrabiliary infusion of monooctanoin.,1
1587742,Burn of the auricle.,0
6529939,Atropine 1 mg given intravenously resulted in shortening of all P-P intervals without changing the rhythm.,0
8305833,A broad-spectrum antibiotic regimen included a penicillinase-resistant preparation because of the frequent involvement of Staphylococcus aureus.,0
18703274,"Our cases of monophasic, multiphasic and recurrent DEM, invoking possible causative triggers, point to the conclusion that DEM has to be regarded as a separate disease; its similarities with NMO raise the expectations that other specific autoantibodies will be identified to explain DEM and its variations.",0
889156,Only minor complications have been reported previously.,0
897744,"A drug addict with staphylococcal endocarditis treated with methicillin, who developed massive proteinuria and acute nephritic syndrome is described.",1
10555917,"We examined the in vitro inhibition of the clonogenic capacity of bone marrow hematopoietic progenitor cells of this patient by D-Pen, and found strong inhibition in burst-forming unit-erythroid and colony-forming unit-megakaryocyte assays, but not in colony-forming unit-granulocyte/macrophage assays.",0
12053072,Haptoglobin was undetectable.,0
20052776,Illness was severe in all three patients and one patient died even after initiation of doxycycline.,0
16109609,"Although gemcitabine-based regimens have clear efficacy in refractory lymphoma, prior mediastinal radiation without subcarinal blocking may be a relative contraindication, especially in the presence of pericardial abnormalities on echocardiography.",0
16935446,His seizures were controlled by 150mg/day of phenytoin in combination with primidone.,0
1295628,"A 14-year-old female developed systemic lupus erythematosus (SLE)-like symptoms, rash, fever, leukopenia and positive anti-nuclear antibody (ANA) two weeks after administration of carbamazepine (CBZ; Tegretol) used against benign Rolandic epilepsy.",1
12719997,PURPOSE: To report 4 cases of Toxoplasma gondii retinochoroiditis in patients having recently undergone cardiac transplantation.,0
12802933,"We report the first case, to our knowledge, of rituximab-related autoimmune hemolytic anemia.",1
9399776,"A rechallenge, performed in both patients, confirmed the diagnosis of mesalamine-induced pancreatitis.",1
11399735,Special care should be taken when pulmonary symptoms appear in association with ticlopidine treatment.,1
1477441,OBJECTIVE: To report two cases of fixed drug eruption induced by methylphenidate.,1
9152975,This case may start a debate on the susceptibility of central nervous system tumors following chemotherapy in patients with ITO.,0
12719997,"CONCLUSION: Infectious retinochoroiditis is a potentially blinding complication seen after cardiac transplantation, justifying close clinical and serological surveillance or, in certain cases such as mismatched donors, anti-parasitic prophylaxis.",0
17009081,"Though proteinuria and nephrotic syndrome is a rare adverse effect of IFN-beta-1b therapy, physicians treating MS patients with this agent should pay careful attention to new clinical symptoms and laboratory findings.",1
12420209,This encouraging result suggests that BMT from an unrelated donor should be considered for ATL even if the disease is refractory to chemotherapy.,0
17224428,"This observation illustrates that a coved ST-segment elevation in the right precordial leads should not be, systematically, regarded as a marker of a specific syndrome, but may also reflect a common electrical manifestation of abnormalities in the right ventricle or pericardium.",0
18653821,No benefit has been shown from adding bivalirudin to a GP IIb/ IIIa inhibitor.,0
18371508,These are generally of modest intensity and reversible.,0
19083206,Post-steroid septic arthritis can be treated with irrigation pump assisted arthroscopic synovectomy.,0
12962465,"A year later, the patient reported complete disappearance of pain and swelling, although right breast continued to appear larger than the left.",0
20298401,The patient died of respiratory failure after 8 days of steroid infusion and erlotinib discontinuation.,0
3159106,The recognition of the characteristic features of the syndrome is vital since early aggressive therapy is indicated.,0
820732,"By contrast, corticosteroids inhibited the LAR but not the immediate response.",0
16298824,We report the case of a 43-year-old man with ITP refractory to steroids and intravenous immunoglobulin who developed acute respiratory distress syndrome (ARDS) after a single infusion of rituximab.,1
16629074,Traumatic late flap dehiscence and Enterobacter keratitis following LASIK.,1
18828793,"The previous amphotericin B, granulocyte colony-stimulating factor, hyperbaric oxygen and nasal and left maxillary sinus surgical debridement therapy was ineffective in stopping the progression of the infection to the brain.",0
15057012,This observation suggests that long-term solvent exposure may trigger MF and hasten its progression from the patch stage to the plaque and tumour stages.,0
16018164,Pseudoephedrine-induced hemorrhage associated with a cerebral vascular malformation.,1
16449538,OBJECTIVE: To report 2 cases of nonconvulsive status epilepticus (NCSE) following infusion of ifosfamide.,1
2063999,"After this episode, she showed the rapid destructive stage of the Rett syndrome, i.e., severe psychomotor retardation with loss of speech, peculiar stereotypic hand movements, autistic behavior and seizures.",0
11275896,This report describes a method of applying photodynamic therapy in the biliary tract by using accessories available in the United States.,0
10614572,"The patient's blood pressure decreased from a baseline of 130/80 mm Hg to 70/55 mm Hg, 39 minutes into the infusion.",0
8455181,"This article reviews current human and veterinary literature regarding the microbiology, pathogenesis, and treatment of nocardiosis and reports on the successful treatment of systemic nocardiosis in two dogs.",0
14700673,Mechanism of topiramate-induced acute-onset myopia and angle closure glaucoma.,1
7841741,Ultrasound examination confirmed the diagnosis and subsequent resolution of the thrombus.,0
16355099,Heparin was administered on the initial one and a half days.,0
19733945,Renal biopsy showed acute interstitial nephritis with eosinophilic cells.,0
11957131,"Although the management of catheter-related Rhodotorula fungemia infections remains controversial, resolution of the underlying disease is more important than catheter removal for recovery from Rhodotorula rubra fungemia.",0
17167851,Patients were treated with CPA at the doses of 200-300 mg/d for malignant prostate disease for 3-12 mo prior to the acute manifestation of the hepatic disease.,0
7781845,"In particular, this adverse effect has never been described with mefloquine (Lariam).",0
1267457,"The patient received only the ophthalmic sulfonamide, and it was used for one day, but he developed Stevens-Johnson syndrome.",1
7304798,Induction of rapid mood cycling during L-dopa treatment in a bipolar patient.,1
2320800,Lethal anuria complicating high dose ifosfamide chemotherapy in a breast cancer patient with an impaired renal function.,1
12472543,The eruption cleared on withdrawal of the drug.,0
12195080,SUMMARY OF BACKGROUND DATA: Meningiomas are known to enlarge in response to female sex hormones.,0
8641617,Clostridium difficile colitis associated with cisplatin-based chemotherapy in ovarian cancer patients.,1
16845571,Clinical diagnosis was made on the confirmation of soft palate movements synchronous with an audible clicking noise.,0
15270625,Systemic chemotherapy induced complete regression of the soft tissue lesion.,0
8110922,"To determine the clinical significance of this organism, we reviewed the records of all patients whose blood cultures were positive for E. avium who were seen at our institution from 1986 through 1991 and identified nine cases of bacteremia due to E. avium.",0
14617303,"Although the treatment of S. aureus endocarditis in immunosuppressed transplant patients has traditionally resulted in loss of their allograft, prompt diagnosis and appropriate antibiotics with continued immunosuppressive therapy resulted in a successful outcome and allograft preservation in this case.",0
1200661,Remissions following treatment of individual lesions varied from one month to at least three years.,0
8071504,Routine ophthalmic observation for the development of optic neuropathy is strongly recommended for patients with significant risk factors that could increase the chance of side effects and those on longer treatment courses.,0
18042092,Reflex vasospasm induced by the injection trauma may be etiologically involved.,0
12729371,"There were also larger cells (immunoblastic shape) that displayed CD20 positively, some scattered plasma cells, and eosinophils.",0
17712747,"Although there is a presumed drug-drug interaction between itraconazole and nonnucleoside reverse-transcriptase inhibitors, the medical literature lacks such documentation.",0
825629,"Although calcium deficiency has not been incriminated as a cause of rickets in the past, it is possible that in very tiny premature infants rapid growth requirements lead to a relative calcium deficiency which may be manifested as uncalcified osteoid.",0
19815480,The use of sunitinib in dialysis patients is poorly described but is of clinical importance.,0
4038927,"The vasodilating action of calcium-channel blockers decreases the systemic pressure and in turn, may increase the pressure gradient and the left ventricular end-diastolic pressure.",0
736591,Improvement in the level of arterial blood gases and pulmonary diffusing capacity occurred after discontinuation of methotrexate therapy.,0
9058350,Steroid hormone deprivation potentially contributed to neovascularization and bowel involvement.,0
15961942,CONCLUSION: This report shows thatimmune-mediateddiabetes mellitus can occur as a late complication of alfa-interferon therapy.,0
11126885,"Even after a strict warning, he took another quinine tablet that evening, which triggered his fifth episode of severe thrombocytopenia, and confirmed the etiology of quinine-induced thrombocytopenia.",1
19327268,"Well-fixed metal-metal hip resurfacing components are removed for infection, instability, or hypersensitivity reactions.",0
8739289,Transient central diabetes insipidus in the setting of underlying chronic nephrogenic diabetes insipidus associated with lithium use.,1
11506739,"He stopped this therapy in February 1996 because of asthenia, diplopia, headache, and anxiety.",0
19798640,"PCNSL is a disease of the elderly, with the majority of patients being diagnosed in the 7th to 8th decade of life.",0
9892272,Subfascial hematoma remains a rare and self-limited complication of thrombolytic therapy.,0
17239028,Recurrent hepatitis C and CSD were ultimately managed by the application of pegylated interferon.,0
14641354,"In addition, severe oedema of the right upper eyelid was observed.",0
19715523,The results of histopathologic examination of the colonic mucosa suggested ulcerative colitis.,0
17000459,Computed tomography of the head performed immediately after recognition of the symptoms showed a hyperdense middle cerebral artery (MCA) sign.,0
18504683,The purpose of this article is to present the first case-series of posterior reversible encephalopathy syndrome (PRES) associated with L-asparaginase treatment.,1
7393795,Metformin was stopped.,0
11545487,The renal consequences of indinavir-associated nephrotoxicity are uncertain.,1
11922372,Total scaphoidectomy and appropriate antibiotic therapy eradicated the infection.,0
19299370,"According to the Naranjo et al. adverse-reaction probability scale, enoxaparin was the probable cause of hepatotoxicity in this patient.",1
20298401,"This case had radiation fibrosis, so we suggest that radiation fibrosis may be another contributor of the occurrence of ILD in patients taking erlotinib.",1
12439602,Carboplatin hypersensitivity presenting as coronary vasospasm - a case report.,1
17849250,Methanol poisoning continues to be a public health problem in Tunisia in spite of the different legislative measures.,0
15866658,Eighteen patients were given MMF for the following reasons: renal failure in nine (50%); treatment of acute rejection in three (16.6%); primary prophylaxis of rejection in five (27.7%); and CNI withdrawal in one (5.5%).,0
14766895,Both recovered after 10 days of intraperitoneal administration of cefazolin and tobramycin.,0
6422563,Mycobacterium fortuitum bacteremia with granulomatous hepatitis complicating home cyclic parenteral nutrition through an indwelling Broviac catheter occurred in a 41-year-old woman.,0
1057740,The case report of the corticosteroid complication in an eight-year-old girl with immune thrombocytopenic purpura is presented.,0
4031907,Pellagra encephalopathy among tuberculous patients: its relation to isoniazid therapy.,1
11265233,Primary Hodgkin's disease of the CNS in an immunocompetent patient: a case study and review of the literature.,0
672731,Charcoal haemoperfusion and cysteamine therapy led to the rapid removal of the paracetamol from the body and consequently prevented the development of severe hepatic necrosis.,1
15224368,We report a case of Sweet's syndrome in association with sargramostim treatment following chemotherapy for acute myelogenous leukemia.,1
16150094,This is the first reported case to our knowledge of successful use of maternal ganciclovir to treat intrauterine CMV infection in a pregnant renal transplant recipient.,0
3097786,The response to antimicrobial therapy was better in the more recent cases.,0
3301251,"The source of fever was never identified, although infection with cytomegalovirus was considered the most likely cause.",0
18648015,Cephalosporin-induced leukopenia following rechallenge with cefoxitin.,1
2993577,Three cases of self-inflicted gingival injuries resulting from the improper use of the Keyes technique are presented.,0
15084854,PURPOSE: Interface inflammation is a common complication of laser in situ keratomileusis (LASIK).,0
12463733,"Generalized and partial complex seizures, other neurological signs and symptoms, and laboratory data were improved after modification of her anticonvulsant regimen.",0
8447835,"The reactivity of these antibodies, the regulation of the rodent antigens and the identity of the human autoantigen have been investigated.",0
11984077,Life-threatening anaphylactoid reaction to amifostine used with concurrent chemoradiotherapy for nasopharyngeal cancer in a patient with dermatomyositis: a case report with literature review.,1
1966850,Complications of chemotherapy for a synovial sarcoma in an eight-year old boy included cisplatinum nephrotoxicity and adriamycin cardiotoxicity.,1
1267457,"A 71-year-old man, who had a history of a previous bullous drug reaction to a sulfonamide, began receiving an ophthalmic preparation that contained sulfacetamide sodium.",1
8448739,CONCLUSIONS: Nocardiosis should be considered a potential pathogen in this immunocompromised setting.,0
15084854,"Elevated intraocular pressure was noted on average 28 days after presentation (range, 8-69).",0
8053440,Cross-reactivity between clindamycin and ampicillin is also demonstrated in one patient.,0
19789166,Nitrofurantoin-induced acute liver damage in pregnancy.,1
9094821,Histopathologic examination revealed adenomyosis with cyst formation and an unusual thick capsule.,0
12432978,This case report illustrates how pharmacodynamic properties of drugs can complicate the treatment of neurologic disorders.,0
3804181,"The main clinical features of this 58-year-old female patient were laboratory evidence of leucopenia and cholestasis, and biopsy features of fatty liver parenchyma degeneration with granulocytic portal infiltration and bile stasis, demonstrated 20 days after the initiation of antithyroid therapy with 20 mg methimazole daily.",1
20154441,Computed tomography and magnetic resonance imaging of the brain showed acute infarctions bilaterally in the cerebellum.,0
10755579,"The clinical course of a 9-year-old diagnosed with attention-deficit hyperactivity disorder, obsessive-compulsive disorder, and Tourette's disorder and treated with a combination of methylphenidate, clonidine, and fluoxetine is described.",0
7117795,Ulcerating enteritis associated with flucytosine therapy.,1
9253492,"A sweat test using pilocarpine iontophoresis revealed a marked reduction in the sweat response, which suggested a postganglionic sweating dysfunction.",0
9260733,Clozapine induced polyserositis.,1
9613749,Four of the patients reported erectile dysfunction before beginning apomorphine and two of these report a significant improvement in their sexual function resulting from apomorphine use.,0
15920338,"Based on the findings, a high-grade endometrial stromal sarcoma was diagnosed.",0
15093850,"We report a case of unintentional overdose of oral pilocarpine tablets that resulted in bradycardia, mild hypotension, and muscarinic symptoms in a patient with Sjogren's syndrome.",1
11042581,"METHODS: Ten patients with long standing primary CBCL (3 with follicular CBCL, 5 with cutaneous, large B-cell lymphoma, 1 with diffuse large cell lymphoma, and 1 with extranodal large cell lymphoma) were treated by intravenous application of a chimeric antibody against the CD20 transmembrane antigen that is present on malignant and normal B-cells.",0
1734541,She had no other causes of immunosuppression.,0
16204273,Renal complications are uncommon and not well recognized.,0
3465489,Good correlation existed between peak concentrations and AUC (r = 0.866; P less than 0.001).,0
7807993,Three of the patients had received no prior alkylating agents.,0
12692521,Capillary leak syndrome (CLS) commonly occurs in the intensive care setting.,0
17243855,"The pharmacist conducted a thorough medication review, which revealed the use of several herbal products, including St.",0
12004291,A unique patient with adrenal insufficiency is reported who received corticosteroids intravenously and then had multiple lesions develop that were similar to focal lipoatrophy as known to occur secondary to faulty intradermal injections of corticosteroids.,0
7962394,Acute pancreatitis associated with danazol treatment for endometriosis.,1
11773823,"Although it is very rare, careful monitoring and readiness for the occurrence of such a potentially lethal situation with necessary medications may prevent a fatal outcome.",0
589261,"Minor electrocardiographical changes were noted in five out of six patients who were not receiving a cardiac glycoside and four out of six who were receiving ouabain, and none of the 16 who were receiving digoxin.",1
15286697,Pulmonary fibrosis is a severe complication associated with bis-chloronitrosourea (BCNU) therapy.,1
12665232,"Although a single case, this report questions the safety of using an intraoperative application of mitomycin C for preventing a recurrence of pterygium.",0
10074601,Renal artery rupture secondary to pretransplantation Candida contamination of the graft in two different recipients.,0
16062101,"ADR induced by drug treatment can be a side effect of treatment with antipsychotic drugs and other drugs; however, there have been no reports of lamivudine-induced ADR in the English literature.",1
8181372,Severe diffuse interstitial pneumonitis induced by carmustine (BCNU).,1
6170655,"One percent lindane should continue to remain the preparation of choice for nearly all patients with scabies and lice, but dermatologists should appreciate that these views are not necessarily shared by all health professionals.",0
18675768,"Although a potential interaction between propafenone and SSRIs has been noted, a MEDLINE search revealed no published reports of an interaction between propafenone and citalopram.",0
16288069,Antibiotic treatment should be continued.,0
18063242,"She was immediately given C1 esterase-inhibitor concentrate, made a complete recovery and was discharged next day.",0
3892171,This patient had previously been sensitized to protamine during cardiac catheterization and had high levels of protamine-specific immunoglobulin E in the serum.,0
9972383,"Similar cases of this reaction have been reported with procainamide, which is structurally similar to metoclopramide.",0
189279,The role of Adriamycin in the production of cardiotoxicity is reviewed.,1
7854541,CSF examination revealed an inflammatory profile.,0
15671134,"These findings suggest that clozapine-induced seizures can be successfully treated, that gradual dose titration can reduce the likelihood of further episodes of seizures and that concomitant use of a suitable mood stabilizer/anti-epileptic medication can improve the outcome of treatment-resistant schizophrenia.",1
9865241,"The patient presented with lethargy, abdominal pain, and vomiting.",0
15719254,Retinoic acid may increase the risk of bone marrow transplant nephropathy.,1
19126013,"Diffuse cutaneous leishmaniasis (DCL) is a rare anergic variant of leishmanial infection with the characteristic presentation of numerous nonulcerating nodules with an abundant parasite load, lack of visceral involvement, negative reaction to the leishmanin skin test, and a chronic course with incomplete response to treatment and frequent relapses.",0
19487988,A case is reported of a subphrenic abscess 12 months post-laparoscopic cholecystectomy in a 72-year-old male with identification of Actinomyces meyeri and the oropharyngeal commensal Klebsiella ozaenae.,0
16355099,"When thrombosis develops during heparin treatment, it is important to suspect HITTs and to assay for the associated antibodies, regardless of the actual platelet count.",1
15661067,Asthenozoospermia: possible association with long-term exposure to an anti-epileptic drug of carbamazepine.,1
9719245,Pancytopenia associated with 5-aminosalicylic acid use in a patient with Crohn's disease.,1
18987409,Percutaneous coronary intervention (PCI) is routinely performed in patients with non-ST elevation acute coronary syndromes after pretreatment with clopidogrel and periprocedural administration of unfractionated heparin on a weight-adjusted basis.,0
12399645,A case of SIADH induced by mizoribin administration.,1
15636665,A trial of thrombolytic therapy with tissue plasminogen activator infusions was started at 0.1 mg/kg/hr for 6 hrs daily.,0
10452772,"The patient had recurrence of urticaria and angioedema a year and a half later, at which point the NPH was stopped and she was desensitized to regular insulin.",1
16249064,"This case, along with extensive reports in the medical literature, illustrate how treatment with inhibitors of TNF-alpha has the potential to result in a wide range of infectious complications, including rapid growing Mycobacterium.",0
7787496,Sotalol-induced bradycardia reversed by glucagon.,1
8363533,"Albeit rare among Western patients, such lithium-associated thyroid dysfunctions appeared to be more likely to occur in Hong Kong Chinese.",1
7599364,Three case studies are the basis for a discussion of the criminalization hypothesis as it may apply to psychiatric probationers and parolees in the criminal justice system.,0
7379406,Niflumic acid-induced skeletal fluorosis: iatrogenic disease or therapeutic perspective for osteoporosis?,1
17565026,We discuss the implications for current diagnosis and management of HIV-associated pulmonary diseases.,0
10229976,"This finding suggests that eosinophil infiltration may be associated with nasal polyp formation in AIA, and that activation of eosinophils plays an important role in accumulation of eosinophils and polyp formation beginning with the initial stage.",0
19061598,"Despite optimal response of the cutaneous lesions to treatment, the disease progressed and the patient died from infectious complications eight months after the appearance of the tumors.",0
6981342,"The increasing administration of protocol chemotherapy by practitioners in the community, who may not be especially familiar with the particular agents in a given regimen, suggests such errors may become more common.",0
11202801,Hepatic angiosarcoma occurring after cyclophosphamide therapy: case report and review of the literature.,1
12432978,Adjustments in his drug regimen led to the discovery of pseudoparkinsonism and other extrapyramidal symptoms.,0
2302898,Diazepam use by pregnant women can be associated with a later presentation of withdrawal symptoms in the neonate than that induced by the use of other drugs.,1
19145124,Two patients who developed decreased visual acuity after several months of ethambutol treatment for Mycobacterium avium-intracellulare infection had bitemporal visual field defects that suggested optic chiasm damage.,1
2761936,"The nature of the process was not recognized initially, and the patient was treated with intravenous antibiotics.",0
15494638,Peripheral neuropathy associated with capecitabine.,1
11485141,"Twenty-four hours after the administration of gemcitabine, a symmetric, bullous, herpetiform eruption appeared on his trunk and upper limbs.",1
3677571,Encephalopathy and death may occur.,0
19497046,"Rhodococcus equi is a bacterial pathogen of domestic animals that can infect immunocompromised patients, especially those with impaired cellular immunity, such as transplant recipients.",0
3281932,'Spontaneous' hypertensive episodes with monoamine oxidase inhibitors.,0
11236070,These potentially life-threatening phenomena have led to treatment discontinuation and the consequent reemergence of psychiatric symptoms.,0
15203443,Many clinicians appear to be concerned about the potential hepatotoxicity of the opiate antagonist naltrexone (NTX) and this may be one reason why it is not used more widely in treating both heroin and alcohol abusers.,1
18556970,We report a 13 year-old male who developed life-threatening anaphylaxis early in the course of Increlex therapy.,1
18523232,"Liver function tests showed alanine aminotransferase 3330 U/L, aspartate aminotransferase 3250 U/L, and bilirubin 21 mg/dL.",0
2081681,I report a patient who developed the syndrome during treatment for schizophrenia with the antipsychotic agent molindone hydrochloride.,0
1258110,This was later confirmed by the patient.,0
15304176,"The clinical diagnosis of lichen planus (LP) was confirmed by histology, which revealed hyperorthokeratosis, hypergranulosis, vacuolar degeneration of the basal layer cells and a dense, band-like lymphocytic infiltrate in the superficial dermis.",0
10920796,"CASE: A 29-year-old primigravida with a history of four therapeutic amniocenteses for idiopathic polyhydramnios developed preterm labor at 30 and 5/7 weeks' gestation, rupture of membranes, and Candida albicans chorioamnionitis.",0
14729419,CLB and N-CLB plasma level dosages and molecular analysis may be useful when a poor metabolic condition is suspected.,0
7946029,His symptoms of brain stem compression were alleviated and the role of phenytoin in the production of his craniocervical abnormality is discussed.,1
10435399,"RESULTS: Careful blood cell monitoring showed a pronounced diurnal variation of WBC (2.9-4.2x10(9)/l in the morning and 3.6-7.1x10(9)/l in the afternoon) and granulocytes (0.8-1.4x10(9)/l and 2.9-5.5x10(9)/l, respectively).",0
17965530,Reports of colonic perforation as a result of the administration of calcium polystyrene sulfonate and sorbitol are rare.,1
623061,"A toxic encephalopathy characterized by depressed level of consciousness, marked irritability, and ataxia developed in seven children, 5 years of age and younger, following administration of an antiemetic combination of pentobarbital and pyrilamine maleate.",1
7235792,"There is potential for this side effect, and additional caution in the use of this drug should be followed.",0
